"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","COUNTRY_CODE","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","HGT_IND","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","EXTERNAL","SOURCE_EXCLUSION_FLAG","OB_SOURCE","OB_PLATFORM","FM_CODE_VER","STA_WX_IND","PAST_WX2","IND_FOR_WAVE_MEAS","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","ICE_ACCR_ON_SHIP","THICKNESS_OF_I","RATE_OF_I","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP","AMT_PRECIP","DUR_OF_PER","QC_IND","QC_IND_FOR_FIELDS","MQCS_VER","SHIP_HEADING","COURSE_OVER_GROUND","SPD_OVER_GROUND","MAX_HT_SUM_LOAD","DEP_LOAD_IN","REL_WIND_DIR","REL_WIND_SPD"
"44620","2006-12-01T00:00:00","48.73","-42.47",,,"1","3","2","5",,,,"3",,,,,,,,,,"10183",,,"3",,,,,,,"128",,,,,,,,,,,,,"173","82","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44622","2006-12-01T00:00:00","44.37","-44.10",,,"1","3","2","5",,,,"3",,,,,,,,,,"10250",,,"3",,,,,,,"103",,,,,,,,,,,,,"173","44","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44625","2006-12-01T00:00:00","43.08","-44.53",,,"1","3","2","5",,,,"3",,,,,,,,,,"10266",,,"3",,,,,,,"186",,,,,,,,,,,,,"173","34","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44766","2006-12-01T00:00:00","40.76","-46.86",,,"1","3","2","5",,,,"3",,,,,,,,,,"10312",,,"3",,,,,,,"190",,,,,,,,,,,,,"173","6","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44771","2006-12-01T00:00:00","48.88","-44.59",,,"1","3","2","5",,,,"3",,,,,,,,,,"10186",,,"3",,,,,,,"72",,,,,,,,,,,,,"173","84","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A8EU2","2006-12-01T00:00:00","40.80","-41.40",,,"1","6",,,"2","5",,"1","DE","0","310","1","100","0","97","2","2","10290","2","5","0","140","0","105","1","75",,,"8","8","7","0","3",,,"12","7","34","12","8","173","1","926","112","5","1","2","1","F11111","111111111A1111",,,"4","1","8","1",,,,,,,,,,,,,,"4",,,"6","11111111191211111111","5",,,,,,,
"HP6038","2006-12-01T00:00:00","46.40","-48.40",,,"1","6","0","0","0","0",,"1",,"0","150","4","134",,"95","10","6","10184","8","42","3","45","0","45",,"50","0","56","8","8","6",,"3","A","A","4","2","33","10","5","173","68","992","114","5","1","2","1","111113","11111113311111",,,,,,"1","2",,"2","13","5",,,,,,,,,"4",,,,,,,,,,,,
"SLCH","2006-12-01T00:00:00","41.20","-40.80",,,"1","6","0","0","2","3",,"1",,"0","270","3","93",,"97",,,"10284","3","5","0","115",,,,,"3","184","7",,,,"A",,,,,,,,"173","10","992","114","5","1","1","1","11111F","111AA11AA11AA1",,,,,,"3",,,,,,,,,,,,,,"4",,,,,,,,,,,,
"V2XM","2006-12-01T00:00:00","48.70","-50.00",,,"1","6","0","0",,,,"1",,"0","180","3","93",,"96","63","6","10160",,,"0","10",,,,,,,"8",,,,"4",,,,,,,,"172","80","992","114","5","1","2","1","F1111F","1111111AAA1AAA",,,,,,"1","2",,,,,,,,,,,,,"4",,,,,,,,,,,,
"V7JT6","2006-12-01T00:00:00","40.70","-45.00",,,"1","5","0","0","1","1",,"1",,"0","300","4","129",,,,,,,,,,,,,,,,,,,,"A",,,,,,,,"173","5","992","114","5","1","2","1","FF11FF","11AAAAAAAA8AAA",,,,,,"3",,,,,,,,,,,,,,"4",,,,,,,,,,,,
"VAAZ","2006-12-01T00:00:00","47.90","-47.90",,,"1","5","0","0","6","1",,"1",,"0","170","4","72",,,,,"10185","6","33","0","8",,,,"7",,,,,,,"A",,,,,,,,"173","77","992","114","5","1","2","1","F11113","11AAA11A1A8AA1",,,,,,"6",,,,,,,,,,,,,,"4",,,,,,,,,,,,
"VEP717","2006-12-01T00:00:00","46.70","-48.70",,,"1","5","0","0","0","0",,"1",,"0","160","4","123",,"95","51","5","10175","8","38","3","20","0","17",,"10",,"56","8","8","6",,"1","A","A","4","2","34","9","5","173","68","992","114","5","1","2","1","111111","11111111111111",,,,,,"1","2",,,,,,,,,,,,,"4",,,,,,,,,,,,
"VRWC8","2006-12-01T00:00:00","41.40","-40.50",,,"1","6","0","0","2","5",,"1",,"0","310","4","113",,"98",,,"10270","4","0","0","120","0","80",,"39","1","140","8","8","A",,"A","A","A",,,,,,"173","10","992","114","5","1","2","1","111111","111AA111111AA1",,,,,,"1",,,,,,,,,,,,,,"4",,,,,,,,,,,,
"VRZN7","2006-12-01T00:00:00","42.80","-48.00",,,"1","6","0","0","2","3",,"1",,"0","240","4","154",,"97","2","2","10293","7","22","3","131","0","121",,"110","3","135","8","8","A",,"5","A","A",,,,,,"173","28","992","114","5","1","2","1","111111","11111111111AA1",,,,,,"1","2",,,,,,,,,,,,,"4",,,,,,,,,,,,
"YJUF7","2006-12-01T00:00:00","46.70","-48.00",,,"1","6","0","0","0","0",,"1",,"0","160","4","123",,"95","51","7","10182","7","38","3","22","0","20",,"20","0","48","8","8","6",,"1","A","A","4","3","35","11","7","173","68","992","114","5","1","2","1","111113","11111111111111",,,,,,"1","2",,,,,,,,,,,,,"4",,,,,,,,,,,,
"884","2006-12-01T00:04:00","46.49","-43.22",,,"1","4","3","5",,,,"6","CA","0","290","4","103",,,,,"10335",,,,"35",,"25","1","11","12","100",,,,,,,,,"9",,,,"173","63","780","149","12","0",,"1","111111","11AAA11111A3AA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44620","2006-12-01T01:00:00","48.73","-42.48",,,"1","3","2","5",,,,"3",,,,,,,,,,"10183",,,"3",,,,,,,"128",,,,,,,,,,,,,"173","82","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44622","2006-12-01T01:00:00","44.37","-44.08",,,"1","3","2","5",,,,"3",,,,,,,,,,"10244",,,"3",,,,,,,"103",,,,,,,,,,,,,"173","44","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
